,,,,,,,
codigo,nombre,descripcion ,precio,unidad,categoria,proveedor,tipo
ASI1201E-D,ASI1201E-D,Control Acceso ASI1201E-D,121745.00,un,producto,Smartsecure,producto
PLC12V,PLC12V,Placa controladora 12V ,150000.00,un,producto,Smartsecure,producto
S802MAX,S802MAX,"Cerradura digital  App TUYA, teclado, huella y tarjeta c Cámara",180000.00,un,producto,Todochapas,producto
958MAX,958MAX,"Cerradura digital,  App TUYA, teclado, huella y tarjeta c Reconocimiento facial",238000.00,un,producto,Todochapas,producto
S811,S811,"Cerradura digital básica, App TUYA, teclado, huella y tarjeta",165000.00,un,producto,Todochapas,producto
ASSABLOY,ASSABLOY,Cerradura Eléctrica Poli Estándar 3010 Color Gris,101574.00,un,producto,Los Pinos,producto
S01,S01,Instalación de motor (Solo),160000.00,un,servicio,Particular,servicio
S01CIP,S01CIP,Servicio de recuperación IP de cámara asociada a NVR,58012.00,un,servicio,Particular,servicio
S02GATOR,S02GATOR,Servicio de recuperación de dispositivo Protegus 2,47600.00,un,servicio,Particular,servicio
S02,S02,Instalación de motor (Kit),380000.00,un,servicio,Particular,servicio
S03,S03,Instalación de ruedas (Unidad),47500.00,un,servicio,Particular,servicio
S04,S04,Instalación de guias,47500.00,un,servicio,Particular,servicio
S05,S05,Instalación Retenedor,85500.00,un,servicio,Particular,servicio
S06,S06,Instalación Protegus y config,40000.00,un,servicio,Particular,servicio
S07,S07,Mantención programada,200000.00,un,servicio,Particular,servicio
S08,S08,Instalación de chapa Exteriores,100000.00,un,servicio,Particular,servicio
S08I,S08I,Servicio de instalación y configuración de chapas digitales,98000.00,un,servicio,Particular,servicio
S09,S09,Servicio de recuperación post colisión Motor Centurion,338000.00,un,servicio,Particular,servicio
S09F,S09F,Servicio de recuperación estructural ,0.00,un,servicio,Particular,servicio
S10,S10,Servicio de instalación digitador de acceso,129000.00,un,servicio,Particular,servicio
S11,S11,Fabricación de perfil 100x100 c/ pintura y polines,271260.50,un,servicio,Particular,servicio
S13,S13,Servicio de mantenimiento CCTV central.,452100.84,un,proyecto,Particular,servicio
S14,S14,Servicio de mantenimiento y renovacion/acondicionamiento de central CCTV Fase I,1537142.86,un,proyecto,Particular,servicio
S15,S15,Servicio de implementación de infraestructura base y plataforma CCTV IP Fase II,7536521.01,un,proyecto,Particular,servicio
S16,S16,Servicio de instalación CCTV IP en acccesos peatonales a las torres y piscina Fase III,3594201.68,un,proyecto,Particular,servicio
S17,S17,"Servicio de instalación CCTV en áreas a acceso a la playa, piscina, quincho Fase IV",6024243.70,un,proyecto,Particular,servicio
S18,S18,Servicio CCTV e Infraestrcutura para exteriores y 2 cámaras en poste.,6263405.04,un,proyecto,Particular,servicio
S19,S19,Servicio CCTV de instalación Piso 18 (6 cámaras) con bajada de cables por troncal de edificio a NVR piso 1.,5719075.63,un,proyecto,Particular,servicio
S20,S20,Servicio de instalación nodo de 8 cámaras N1 y N2.,3786344.54,un,proyecto,Particular,servicio
S21,S21,Servicio de instalación nodo de 8 cámaras N3 y N4.,3605504.20,un,proyecto,Particular,servicio
S12NVR,S12NVR,Servicio de configuración de CCTV con aplicativo ,80000.00,un,proyecto,Particular,servicio
SEMT,SEMT,Servicio de instalación de punto eléctrico x mt,20000.00,un,proyecto,Particular,servicio
PROYECTO,PROYECTO,Proyecto asociado a propuesta (revisar adjuntos),9775850.00,un,proyecto,Particular,servicio
